epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,1876.75,1.24653,0.71845,1.00302,0.81066,0.80273,0.81972,0.55723,2.24626,1.46264,1.55593,6.4092e-05,6.4092e-05,6.4092e-05
182,1887.1,1.26232,0.73129,1.00863,0.80751,0.81117,0.82432,0.56018,2.22571,1.43125,1.54801,6.11814e-05,6.11814e-05,6.11814e-05
183,1897.42,1.2395,0.72629,0.99252,0.82673,0.79233,0.82279,0.55832,2.22485,1.42317,1.53739,5.82708e-05,5.82708e-05,5.82708e-05
184,1907.73,1.27256,0.73837,1.00724,0.79286,0.80662,0.81949,0.56531,2.1997,1.4339,1.52485,5.53602e-05,5.53602e-05,5.53602e-05
185,1918.06,1.23919,0.73391,1.02683,0.82126,0.79233,0.82524,0.5619,2.1877,1.39423,1.52879,5.24496e-05,5.24496e-05,5.24496e-05
186,1928.38,1.25264,0.72648,1.00235,0.82578,0.79844,0.82622,0.57273,2.20448,1.41366,1.53618,4.9539e-05,4.9539e-05,4.9539e-05
187,1939.76,1.24594,0.72055,1.00843,0.82379,0.79926,0.81999,0.56198,2.23214,1.41315,1.54843,4.66284e-05,4.66284e-05,4.66284e-05
188,1950.11,1.26038,0.74266,1.00332,0.83036,0.80099,0.82063,0.56123,2.19678,1.43081,1.53071,4.37178e-05,4.37178e-05,4.37178e-05
189,1960.42,1.20836,0.70006,0.99579,0.83556,0.79276,0.82149,0.56158,2.20608,1.45235,1.53237,4.08072e-05,4.08072e-05,4.08072e-05
190,1970.64,1.23663,0.72208,1.0028,0.82602,0.79623,0.82009,0.57106,2.21929,1.43517,1.54223,3.78966e-05,3.78966e-05,3.78966e-05
191,1982.86,1.29297,0.72503,1.07408,0.82114,0.79714,0.81721,0.57282,2.2119,1.43389,1.54082,3.4986e-05,3.4986e-05,3.4986e-05
192,1993.28,1.27008,0.72671,1.06635,0.82464,0.79581,0.81846,0.56637,2.22202,1.48604,1.54175,3.20754e-05,3.20754e-05,3.20754e-05
193,2003.57,1.25487,0.70825,1.0415,0.83051,0.7974,0.81797,0.57114,2.2309,1.44924,1.54692,2.91648e-05,2.91648e-05,2.91648e-05
194,2013.84,1.1989,0.66915,1.03588,0.83441,0.7938,0.81966,0.57197,2.24111,1.44827,1.56253,2.62542e-05,2.62542e-05,2.62542e-05
195,2024.12,1.24815,0.71037,1.04997,0.82469,0.79751,0.82057,0.5669,2.24374,1.45039,1.5624,2.33436e-05,2.33436e-05,2.33436e-05
196,2034.39,1.1933,0.68053,1.02704,0.81937,0.79688,0.81774,0.57263,2.242,1.43994,1.55934,2.0433e-05,2.0433e-05,2.0433e-05
197,2044.67,1.17961,0.66197,1.01544,0.81537,0.8011,0.81979,0.57425,2.20874,1.42206,1.5492,1.75224e-05,1.75224e-05,1.75224e-05
198,2054.97,1.2028,0.66934,1.03408,0.8192,0.79795,0.82062,0.57714,2.21253,1.43703,1.54987,1.46118e-05,1.46118e-05,1.46118e-05
199,2065.31,1.17051,0.66238,1.01874,0.82363,0.79515,0.81865,0.57976,2.22435,1.4434,1.55552,1.17012e-05,1.17012e-05,1.17012e-05
200,2075.67,1.17089,0.64889,1.01712,0.83039,0.79902,0.82111,0.57712,2.21777,1.44083,1.54804,8.7906e-06,8.7906e-06,8.7906e-06
